Day,S                 ,E                    ,I                    ,R
78 ,0.6657197004435387,8.024333155878735E-6 ,4.1473612454943275E-4,99.33385753909877
79 ,0.6657172155614612,6.49704865532283E-6  ,3.3580106621748553E-4,99.33394048632368
80 ,0.6657152036245042,5.260461284725284E-6 ,2.7188937730164987E-4,99.33400764653693
81 ,0.6657135746164746,4.2592386719260095E-6,2.2014173248368255E-4,99.33406202441239
82 ,0.6657122556544177,3.4485813928487886E-6,1.7824300532290905E-4,99.33410605275888
83 ,0.6657111877274395,2.79221767457762E-6  ,1.4431869495475162E-4,99.33414170135995
84 ,0.6657103230563111,2.2607799657552257E-6,1.168510648010901E-4 ,99.33417056509894
85 ,0.6657096229556702,1.8304906237614814E-6,9.461124182374968E-5 ,99.3341939353119
86 ,0.665709056103143 ,1.482097838977446E-6 ,7.660423877088048E-5 ,99.33421285756026
87 ,0.6657085971379236,1.2000141388596868E-6,6.202443993619311E-5 ,99.33422817840801
88 ,0.6657082255260975,9.716188955135402E-7 ,5.021955901838433E-5 ,99.334240583296
89 ,0.6657079246419358,7.866936094442559E-7 ,4.0661456662464234E-5,99.3342506272078
90 ,0.6657076810240505,6.369646900713117E-7 ,3.2922512134693514E-5,99.33425875949912
91 ,0.6657074837731277,5.157332678957127E-7 ,2.6656492052790467E-5,99.33426534400155
92 ,0.6657073240642915,4.1757547020399003E-7,2.158306027618023E-5 ,99.33427067529996
93 ,0.6657071947522797,3.380997468161633E-7 ,1.747523595604618E-5 ,99.33427499191201
94 ,0.665707090051767 ,2.737503861614847E-7 ,1.4149238638245025E-5,99.3342784869592
95 ,0.6657070052785307,2.2164842940356945E-7,1.1456266103676763E-5,99.33428131680694
96 ,0.6657069366398812,1.7946286409775812E-7,9.275837097643195E-6 ,99.33428360806016
97 ,0.6657068810649793,1.4530633394026262E-7,7.510401110163435E-6 ,99.33428546322759
98 ,0.6657068360674481,1.1765069825747603E-7,6.080974055100879E-6 ,99.33428696530781
99 ,0.665706799634134 ,9.525866311460303E-8 ,4.923604593209441E-6 ,99.33428818150263
